country,iso3,year,count,sex,age_group
Australia,AUS,2000,12,F,35-44
Australia,AUS,2001,16,F,35-44
Australia,AUS,2002,15,F,35-44
Australia,AUS,2003,3,F,35-44
Australia,AUS,2004,5,F,35-44
Australia,AUS,2005,11,F,35-44
Australia,AUS,2006,14,F,35-44
Australia,AUS,2007,20,F,35-44
Australia,AUS,2008,14,F,35-44
Australia,AUS,2009,14,F,35-44
Australia,AUS,2010,12,F,35-44
Australia,AUS,2011,23,F,35-44
Australia,AUS,2012,15,F,35-44
Australia,AUS,1997,5,F,45-54
Australia,AUS,1998,8,F,45-54
Australia,AUS,1999,6,F,45-54
Australia,AUS,2000,15,F,45-54
Australia,AUS,2001,7,F,45-54
Australia,AUS,2002,6,F,45-54
Australia,AUS,2003,5,F,45-54
Australia,AUS,2004,7,F,45-54
Australia,AUS,2005,10,F,45-54
Australia,AUS,2006,7,F,45-54
Australia,AUS,2007,12,F,45-54
Australia,AUS,2008,6,F,45-54
Australia,AUS,2009,12,F,45-54
Australia,AUS,2010,2,F,45-54
Australia,AUS,2011,7,F,45-54
Australia,AUS,2012,11,F,45-54
Australia,AUS,1997,10,F,55-64
Australia,AUS,1998,2,F,55-64
Australia,AUS,1999,2,F,55-64
Australia,AUS,2000,5,F,55-64
Australia,AUS,2001,8,F,55-64
Australia,AUS,2002,4,F,55-64
Australia,AUS,2003,4,F,55-64
Australia,AUS,2004,3,F,55-64
Australia,AUS,2005,6,F,55-64
Australia,AUS,2006,9,F,55-64
Australia,AUS,2007,7,F,55-64
Australia,AUS,2008,11,F,55-64
Australia,AUS,2009,11,F,55-64
Australia,AUS,2010,5,F,55-64
Australia,AUS,2011,7,F,55-64
Australia,AUS,2012,9,F,55-64
Australia,AUS,1997,12,F,65+
Australia,AUS,1998,24,F,65+
Australia,AUS,1999,26,F,65+
Australia,AUS,2000,14,F,65+
Australia,AUS,2001,20,F,65+
Australia,AUS,2002,23,F,65+
Australia,AUS,2003,7,F,65+
Australia,AUS,2004,19,F,65+
Australia,AUS,2005,14,F,65+
Australia,AUS,2006,21,F,65+
Australia,AUS,2007,23,F,65+
Australia,AUS,2008,10,F,65+
Australia,AUS,2009,12,F,65+
Australia,AUS,2010,12,F,65+
Australia,AUS,2011,17,F,65+
Australia,AUS,2012,15,F,65+
Australia,AUS,1997,NA,F,NA
Australia,AUS,1998,NA,F,NA
Australia,AUS,1999,NA,F,NA
Australia,AUS,2000,NA,F,NA
Australia,AUS,2001,NA,F,NA
Australia,AUS,2002,NA,F,NA
Australia,AUS,2003,NA,F,NA
Australia,AUS,2004,NA,F,NA
Australia,AUS,2005,NA,F,NA
Australia,AUS,2006,NA,F,NA
Australia,AUS,2007,NA,F,NA
Australia,AUS,2008,NA,F,NA
Australia,AUS,2009,0,F,NA
Australia,AUS,2010,0,F,NA
Australia,AUS,2011,0,F,NA
Australia,AUS,2012,0,F,NA
